status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,platform,novel_id,category,is_sign,abstract,IP_Score
0,元始法则,10,2025,2586100,1610900,39772,28000,72,飞天鱼,698168,qidian,1042108416,异世大陆,0,星空中的“道城”，修行最初的萌芽之地“祖洲”，浩瀚宇宙水之起源“神仓古泽”，虚暗禁区“战斧座空洞”。 还有藏在宏观中的天界，与微观中的地府幽境。 地球的微观世界…… 显微镜下——豆子般大小的佛祖舍利，宛若一颗浅红色星球，高耸的山脉和干枯的古河道密布，荒凉而辽阔，蔚为壮观。 研究人员怀着惊叹情绪，细细观察这片微观世界。 不久后，有了震撼的发现。 一艘形制古老且外观诡奇的青铜船舰，停泊在这颗浅红色星球干枯的海洋中，锈迹斑斑，桅杆帆布清晰可辨，不知已经搁浅在那里多少岁月。 调大倍率，只见船上尸骨累累，有身穿铠甲的白骨人类，也有凤尸蟒骸，甲板上还有大片的墓海碑林。 它明明只有四百六十纳米长，却如此宏伟神秘。,79.83791857765378
0,苟在武道世界成圣,10,2025,1932700,220200,21158,7289,21,在水中的纸老虎,0,qidian,1045003390,东方玄幻,0,命格在手，苟道求生！ 陈庆穿越了，却穿进一个武道为尊、人命贱如草的乱世。开局便是哑子湾的贫苦渔家子，父亲被抓徭役杳无音信，孤儿寡母被官府税赋与帮派“龙王香火”层层盘剥，挣扎在饿死的边缘。 天无绝人之路，他脑海中悬着一道【命格：天道酬勤，必有所成】！ 这意味着任何技艺，对他而言没有资质门槛，没有瓶颈阻隔，只要付出，必有回报！,39.36590502553997
0,天命之上,10,2025,3167000,793800,10467,5543,45,风月,648364,qidian,1039831421,原生幻想,0,世界自毁灭之后重建。 于危崖之上，再起万丈高楼。 被称为天选者的人们活跃在现实的幕后，行走在历史的阴影中，掌握超凡脱俗的力量，领受着崇拜与敬畏。 有人说他们身负天命，万中无一。 可季觉对天命不感兴趣。 他只想有朝一日，去看一看天命之上的风景。 “……” 记录者写到这里停下了笔，看向那个满手油污的汽修工：“所以，这就是你破坏国际秩序、贩卖禁忌武器、资助颠覆组织、引发两极大战、图谋暗中统治世界的理由？” “关我屁事儿！” 季觉翻了个白眼：“我就是一个破修车的！”,73.81384934786901
0,重回1982小渔村,10,2025,7679800,1785200,13043,8674,13,米饭的米,743927,qidian,1034727274,都市生活,0,【这是一个海边人上山下海的日常小说！ 没有装逼打脸，只有上山下海的悠闲！ 年代文，日常，赶海，种田，养娃，家长里短，不喜勿入，勿喷！】 叶耀东只是睡不着觉，想着去甲板上吹吹风，尿个尿，没想到掉海里回到了1982年。 还是那个熟悉的小渔村，只是他已经不是年轻时候的他了。 混账了半辈子，这回他想好好来过的，只是怎么一个个都不相信呢…… 上辈子没出息，这辈子他也没什么大理想大志向，只想挽回遗憾，跟老婆好好过日子，一家子平安喜乐就好。,75.86856624680217
0,鸣龙,10,2025,1844199,1608000,17621,17900,77,关关公子,571349,qidian,1039457453,东方玄幻,0,“事情是这样的，我当初身陷绝境，意外遇见了一条龙，它非说我是习武奇才，要给我指条通仙大道……” “这就是你挖开魔神陵，给妖魔当奴仆的理由？！” “我谢尽欢从不屈居人下，它才是奴仆，准确来说，我是被一条龙服务过……” …… 已有完本万订《世子很凶》《仙子很凶》《女侠且慢》，感兴趣的朋友可以先看老书~,76.19913247975275
0,捞尸人,11,2025,4734100,5162400,169211,60500,351,纯洁滴小龙,6830245,qidian,1041637443,异术超能,0,人知鬼恐怖，鬼晓人心毒。 这是一本传统灵异小说。,92.67222577192861
0,苟在初圣魔门当人材,11,2025,3000899,1508899,106100,28700,250,鹤守月满池,1479969,qidian,1043182343,东方玄幻,0,吕阳穿越修仙界，却成了魔门初圣宗的弟子。 幸得异宝【百世书】，死后可以重开一世，让一切从头再来，还能带回前世的宝物，修为，寿命，甚至觉醒特殊的天赋。 奈何次数有限，并非真的不死不灭。 眼见修仙界乱世将至，吕阳原本决定先在魔门苟住，一世世苦修，不成仙不出山，奈何魔门凶险异常，遍地都是人材。 第一世，吕阳惨遭师姐暗算。 第二世，好不容易反杀师姐，又遭师兄毒手。 第三世，第四世…… 直到百世之后，再回首，吕阳才发现自己已经成为了一代魔道巨擘，初圣宗里最畜生的那一个。 “魔门个个都是人材，说话又好听。” “我超喜欢这里的！”,85.51609728814383
0,玄鉴仙族,11,2025,5090000,4492900,83600,59000,762,季越人,7674313,qidian,1035420986,修真文明,0,陆江仙熬夜猝死，残魂却附在了一面满是裂痕的青灰色铜镜上，飘落到了浩瀚无垠的修仙世界。 凶险难测的大黎山，眉尺河旁小小的村落，一个小家族拾到了这枚镜子，于是传仙道授仙法，开启波澜壮阔的新时代。 (家族修仙，不圣母，种田，无系统，群像文),90.1524334102208
0,没钱修什么仙？,11,2025,2733000,2633399,85977,30900,264,熊狼狗,1780040,qidian,1042256511,修真文明,0,老者：“你想报仇？” 少年：“我被强者反复侮辱，被师尊视为垃圾，我怎么可能不想报仇？” 老者摸了摸少年的脑袋，叹道：“好孩子，我来传功给你吧。” 少年惊道：“前辈！这怎么行？” 老者伸出手：“把你手机给我。” 少年看着手机上的变化，震惊道：“前辈！这哪里来的百年功力？” 老者微微一笑：“好孩子，这是你在天庭的备用功力，以后急用的时候随用随取，别再被人侮辱了。” 少年皱眉：“这不是法力贷吗？我怕……” 老者：“天庭是大平台，新用户借百年功力有30天免息，日息最低半天功力，还没你吐纳一周天多。” …… 张羽冷哼一声，关掉了上面的广告。,85.79208461366848
0,夜无疆,11,2025,2613900,8215000,57795,72900,143,辰东,2751351,qidian,1040765595,东方玄幻,0,那一天太阳落下再也没有升起…………………,86.63543239013272
0,异度旅社,11,2025,1920600,3439100,28768,29200,99,远瞳,907112,qidian,1041604040,时空穿梭,0,在日常之下，在理性尽头，在你所熟悉的世界之外——是你从未想象过的风景。 当于生第一次打开那扇门的时候，他所熟悉的世界便轰然倒塌。 而那直抵世界根源的“真相”，扑面而来。,80.09874337314982
